שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
ספר דרך תבונות.txt,אוצריא/תלמוד בבלי/ספרות עזר/ספר דרך תבונות.txt,Ben-Yehuda,48
שפה לנאמנים.txt,אוצריא/ספרות עזר/דקדוק/שפה לנאמנים.txt,Ben-Yehuda,273
הערות על רדיפי מיא.txt,אוצריא/ספרות עזר/דקדוק/הערות על רדיפי מיא.txt,Ben-Yehuda,23
רדיפי מיא.txt,אוצריא/ספרות עזר/דקדוק/רדיפי מיא.txt,Ben-Yehuda,904
הערות על שפה לנאמנים.txt,אוצריא/ספרות עזר/דקדוק/הערות על שפה לנאמנים.txt,Ben-Yehuda,4
זכה אשר.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שמואל הנגיד/זכה אשר.txt,Ben-Yehuda,6
ואהבתי ושברי.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/ואהבתי ושברי.txt,Ben-Yehuda,18
אמר לאומרים.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/אמר לאומרים.txt,Ben-Yehuda,19
בפי חרבי.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/בפי חרבי.txt,Ben-Yehuda,11
אני השר.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שלמה אבן גבירול/אני השר.txt,Ben-Yehuda,5
קטעים מתוך חי בן־מקיץ.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי אברהם אבן עזרא/קטעים מתוך חי בן־מקיץ.txt,Ben-Yehuda,20
תחבולה מהראבע.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי אברהם אבן עזרא/תחבולה מהראבע.txt,Ben-Yehuda,8
מסעי יהודה פרק ראשון.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי יהודה אלחריזי/מסעי יהודה פרק ראשון.txt,Ben-Yehuda,218
פליאה דעת העט.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי שם טוב ארדוטיאל/פליאה דעת העט.txt,Ben-Yehuda,6
חָכְמַת הַיְּהוּדִי מקאמה.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי זכריה אלצ'אהרי/חָכְמַת הַיְּהוּדִי מקאמה.txt,Ben-Yehuda,11
משל הקדמוני.txt,אוצריא/ספרות עזר/שירה ופיוט/רבי יצחק אבן סהולה/משל הקדמוני.txt,Ben-Yehuda,856
שאלו שלום ירושלם.txt,אוצריא/ספרות עזר/תולדות/שאלו שלום ירושלם.txt,Ben-Yehuda,64
שבט יהודה.txt,אוצריא/ספרות עזר/תולדות/שבט יהודה.txt,Ben-Yehuda,1001
הערות על טובת מראה.txt,אוצריא/ספרות עזר/תולדות/הערות על טובת מראה.txt,Ben-Yehuda,2
הערות על אבן ספיר.txt,אוצריא/ספרות עזר/תולדות/הערות על אבן ספיר.txt,Ben-Yehuda,143
אבן ספיר.txt,אוצריא/ספרות עזר/תולדות/אבן ספיר.txt,Ben-Yehuda,672
הערות על שאלו שלום ירושלם.txt,אוצריא/ספרות עזר/תולדות/הערות על שאלו שלום ירושלם.txt,Ben-Yehuda,71
יון מצולה.txt,אוצריא/ספרות עזר/תולדות/יון מצולה.txt,Ben-Yehuda,110
טובת מראה.txt,אוצריא/ספרות עזר/תולדות/טובת מראה.txt,Ben-Yehuda,544
מראה הילדים.txt,אוצריא/ספרות עזר/תולדות/סגולות ורפואות/מראה הילדים.txt,Ben-Yehuda,1865
הערות על מראה הילדים.txt,אוצריא/ספרות עזר/תולדות/סגולות ורפואות/הערות על מראה הילדים.txt,Ben-Yehuda,12
הערות על חיי יוסף.txt,אוצריא/ספרות עזר/תולדות/יוסף בן מתתיהו/הערות על חיי יוסף.txt,Ben-Yehuda,165
חיי יוסף.txt,אוצריא/ספרות עזר/תולדות/יוסף בן מתתיהו/חיי יוסף.txt,Ben-Yehuda,184
הערות על סוד קיומנו או המחנך.txt,אוצריא/ספרי מוסר/אחרונים/הערות על סוד קיומנו או המחנך.txt,Ben-Yehuda,53
סוד קיומנו או המחנך.txt,אוצריא/ספרי מוסר/אחרונים/סוד קיומנו או המחנך.txt,Ben-Yehuda,622
הערות על מגדל־עז או תמת ישרים.txt,אוצריא/מחשבת ישראל/אחרונים/רמחל/הערות על מגדל־עז או תמת ישרים.txt,Ben-Yehuda,312
מגדל־עז או תמת ישרים.txt,אוצריא/מחשבת ישראל/אחרונים/רמחל/מגדל־עז או תמת ישרים.txt,Ben-Yehuda,1266
הערות על מעשה שמשון.txt,אוצריא/מחשבת ישראל/אחרונים/רמחל/הערות על מעשה שמשון.txt,Ben-Yehuda,63
מעשה שמשון.txt,אוצריא/מחשבת ישראל/אחרונים/רמחל/מעשה שמשון.txt,Ben-Yehuda,1287
לישרים תהילה.txt,אוצריא/מחשבת ישראל/אחרונים/רמחל/לישרים תהילה.txt,Ben-Yehuda,1520
ספר העצמים.txt,אוצריא/מחשבת ישראל/ראשונים/ספר העצמים.txt,Ben-Yehuda,87
הערות על ספר העצמים.txt,אוצריא/מחשבת ישראל/ראשונים/הערות על ספר העצמים.txt,Ben-Yehuda,61
אור הישר (טהרות).txt,אוצריא/משנה/אחרונים/אור הישר (טהרות).txt,Dicta,2148
בית מאיר על משניות.txt,אוצריא/משנה/אחרונים/בית מאיר על משניות.txt,Dicta,127
אור הישר (זרעים).txt,אוצריא/משנה/אחרונים/אור הישר (זרעים).txt,Dicta,906
משנה אחרונה.txt,אוצריא/משנה/אחרונים/משנה אחרונה.txt,Dicta,1316
דבש תמר - ב (פירוש המשניות להרמבם).txt,אוצריא/משנה/אחרונים/דבש תמר - ב (פירוש המשניות להרמבם).txt,Dicta,581
כפי אהרן חלק ב.txt,אוצריא/שות/אחרונים/כפי אהרן חלק ב.txt,Dicta,832
שות ברוך השם.txt,אוצריא/שות/אחרונים/שות ברוך השם.txt,Dicta,1749
נאות דשא.txt,אוצריא/שות/אחרונים/נאות דשא.txt,Dicta,1765
שופריה דיעקב חלק א.txt,אוצריא/שות/אחרונים/שופריה דיעקב חלק א.txt,Dicta,905
שות מהרף.txt,אוצריא/שות/אחרונים/שות מהרף.txt,Dicta,1089
השיב משה יורה דעה.txt,אוצריא/שות/אחרונים/השיב משה יורה דעה.txt,Dicta,289
תורת אליקום.txt,אוצריא/שות/אחרונים/תורת אליקום.txt,Dicta,203
בנין שלמה חלק ב.txt,אוצריא/שות/אחרונים/בנין שלמה חלק ב.txt,Dicta,174
שות אור המאיר.txt,אוצריא/שות/אחרונים/שות אור המאיר.txt,Dicta,2792
יש מאין חלק א.txt,אוצריא/שות/אחרונים/יש מאין חלק א.txt,Dicta,403
הערות על שות רבי משולם איגרא.txt,אוצריא/שות/אחרונים/הערות על שות רבי משולם איגרא.txt,Dicta,2579
שות הרדד אורח חיים א.txt,אוצריא/שות/אחרונים/שות הרדד אורח חיים א.txt,Dicta,866
דעת מרדכי א.txt,אוצריא/שות/אחרונים/דעת מרדכי א.txt,Dicta,1625
שות בית דוד.txt,אוצריא/שות/אחרונים/שות בית דוד.txt,Dicta,1065
שות די השב.txt,אוצריא/שות/אחרונים/שות די השב.txt,Dicta,872
אמרי בינה הוספות בסוף השות.txt,אוצריא/שות/אחרונים/אמרי בינה הוספות בסוף השות.txt,Dicta,247
משפטים ישרים.txt,אוצריא/שות/אחרונים/משפטים ישרים.txt,Dicta,2583
שדה מגרש.txt,אוצריא/שות/אחרונים/שדה מגרש.txt,Dicta,309
שות פרחי כהונה.txt,אוצריא/שות/אחרונים/שות פרחי כהונה.txt,Dicta,1619
טוב עין.txt,אוצריא/שות/אחרונים/טוב עין.txt,Dicta,811
אמרי שפר קלצקין.txt,אוצריא/שות/אחרונים/אמרי שפר קלצקין.txt,Dicta,834
עבודת הגרשוני.txt,אוצריא/שות/אחרונים/עבודת הגרשוני.txt,Dicta,821
אבני האפוד.txt,אוצריא/שות/אחרונים/אבני האפוד.txt,Dicta,602
מלבושי יום טוב חלק ב.txt,אוצריא/שות/אחרונים/מלבושי יום טוב חלק ב.txt,Dicta,994
נאות יעקב חלק א.txt,אוצריא/שות/אחרונים/נאות יעקב חלק א.txt,Dicta,306
ויקרא אברהם.txt,אוצריא/שות/אחרונים/ויקרא אברהם.txt,Dicta,991
תשורת שי מהדורא תנינא.txt,אוצריא/שות/אחרונים/תשורת שי מהדורא תנינא.txt,Dicta,1895
אהל אברהם.txt,אוצריא/שות/אחרונים/אהל אברהם.txt,Dicta,1309
שות עצי ברושים.txt,אוצריא/שות/אחרונים/שות עצי ברושים.txt,Dicta,1092
וידבר דוד.txt,אוצריא/שות/אחרונים/וידבר דוד.txt,Dicta,776
פי אריה.txt,אוצריא/שות/אחרונים/פי אריה.txt,Dicta,534
חזון נחום.txt,אוצריא/שות/אחרונים/חזון נחום.txt,Dicta,2922
שות מהראפ.txt,אוצריא/שות/אחרונים/שות מהראפ.txt,Dicta,641
קונטרס המרת הדת פוסלת.txt,אוצריא/שות/אחרונים/קונטרס המרת הדת פוסלת.txt,Dicta,36
אוהב משפט חלק א.txt,אוצריא/שות/אחרונים/אוהב משפט חלק א.txt,Dicta,190
אבני מילואים.txt,אוצריא/שות/אחרונים/אבני מילואים.txt,Dicta,406
שות רבי אליהו מזרחי (ראם).txt,אוצריא/שות/אחרונים/שות רבי אליהו מזרחי (ראם).txt,Dicta,688
ברית יעקב חלק א.txt,אוצריא/שות/אחרונים/ברית יעקב חלק א.txt,Dicta,1944
שות ישועות יעקב.txt,אוצריא/שות/אחרונים/שות ישועות יעקב.txt,Dicta,686
השיב משה חושן משפט.txt,אוצריא/שות/אחרונים/השיב משה חושן משפט.txt,Dicta,324
גנת ביתן.txt,אוצריא/שות/אחרונים/גנת ביתן.txt,Dicta,548
מהרם לובלין.txt,אוצריא/שות/אחרונים/מהרם לובלין.txt,Dicta,597
מור ואהלות.txt,אוצריא/שות/אחרונים/מור ואהלות.txt,Dicta,856
עין יצחק חלק ב.txt,אוצריא/שות/אחרונים/עין יצחק חלק ב.txt,Dicta,2812
שות אהל משה.txt,אוצריא/שות/אחרונים/שות אהל משה.txt,Dicta,202
צרור החיים (לונשטם).txt,אוצריא/שות/אחרונים/צרור החיים (לונשטם).txt,Dicta,1174
באר משה (דנשבסקי) ב.txt,אוצריא/שות/אחרונים/באר משה (דנשבסקי) ב.txt,Dicta,572
אמרי אש חלק אבן העזר.txt,אוצריא/שות/אחרונים/אמרי אש חלק אבן העזר.txt,Dicta,1073
ארצות יהודה.txt,אוצריא/שות/אחרונים/ארצות יהודה.txt,Dicta,278
שות מר ואהלות.txt,אוצריא/שות/אחרונים/שות מר ואהלות.txt,Dicta,1341
שארית יוסף.txt,אוצריא/שות/אחרונים/שארית יוסף.txt,Dicta,271
בית אליקום.txt,אוצריא/שות/אחרונים/בית אליקום.txt,Dicta,344
יש מאין חלק ב.txt,אוצריא/שות/אחרונים/יש מאין חלק ב.txt,Dicta,410
שות מהרש אלפנדרי.txt,אוצריא/שות/אחרונים/שות מהרש אלפנדרי.txt,Dicta,588
בית שערים אורח חיים.txt,אוצריא/שות/אחרונים/בית שערים אורח חיים.txt,Dicta,5747
בית שערים יורה דעה חלק ב.txt,אוצריא/שות/אחרונים/בית שערים יורה דעה חלק ב.txt,Dicta,4125
תשורת שי מהדורא קמא.txt,אוצריא/שות/אחרונים/תשורת שי מהדורא קמא.txt,Dicta,4743
טוב טעם ודעת.txt,אוצריא/שות/אחרונים/טוב טעם ודעת.txt,Dicta,1855
השיב משה אורח חיים.txt,אוצריא/שות/אחרונים/השיב משה אורח חיים.txt,Dicta,142
שות מהרם פדווא.txt,אוצריא/שות/אחרונים/שות מהרם פדווא.txt,Dicta,241
בנין של שמחה.txt,אוצריא/שות/אחרונים/בנין של שמחה.txt,Dicta,525
שות האדמור הזקן.txt,אוצריא/שות/אחרונים/שות האדמור הזקן.txt,Dicta,210
באר משה (דנשבסקי) א.txt,אוצריא/שות/אחרונים/באר משה (דנשבסקי) א.txt,Dicta,1072
שות ביכורי אברהם.txt,אוצריא/שות/אחרונים/שות ביכורי אברהם.txt,Dicta,93
מעיל צדקה.txt,אוצריא/שות/אחרונים/מעיל צדקה.txt,Dicta,1013
שות מהרם אלשיך.txt,אוצריא/שות/אחרונים/שות מהרם אלשיך.txt,Dicta,678
תורת חסד.txt,אוצריא/שות/אחרונים/תורת חסד.txt,Dicta,562
שערי עזרה.txt,אוצריא/שות/אחרונים/שערי עזרה.txt,Dicta,1555
שערי בנימין.txt,אוצריא/שות/אחרונים/שערי בנימין.txt,Dicta,672
חיים שאל חלק א.txt,אוצריא/שות/אחרונים/חיים שאל חלק א.txt,Dicta,842
ראשית בכורים.txt,אוצריא/שות/אחרונים/ראשית בכורים.txt,Dicta,903
בשמים ראש.txt,אוצריא/שות/אחרונים/בשמים ראש.txt,Dicta,476
שות פרי עץ חיים.txt,אוצריא/שות/אחרונים/שות פרי עץ חיים.txt,Dicta,22073
נושא האפוד.txt,אוצריא/שות/אחרונים/נושא האפוד.txt,Dicta,621
שות מהראש.txt,אוצריא/שות/אחרונים/שות מהראש.txt,Dicta,770
מצות כהונה.txt,אוצריא/שות/אחרונים/מצות כהונה.txt,Dicta,595
עדות ביעקב.txt,אוצריא/שות/אחרונים/עדות ביעקב.txt,Dicta,309
שות דברי יוסף.txt,אוצריא/שות/אחרונים/שות דברי יוסף.txt,Dicta,328
מהריא הלוי חלק א.txt,אוצריא/שות/אחרונים/מהריא הלוי חלק א.txt,Dicta,1448
דבר אליהו (קלאצקין).txt,אוצריא/שות/אחרונים/דבר אליהו (קלאצקין).txt,Dicta,1069
ומצור דבש.txt,אוצריא/שות/אחרונים/ומצור דבש.txt,Dicta,2290
משאת בנימין.txt,אוצריא/שות/אחרונים/משאת בנימין.txt,Dicta,511
שות אבן שתיה.txt,אוצריא/שות/אחרונים/שות אבן שתיה.txt,Dicta,1325
ויוסף אברהם.txt,אוצריא/שות/אחרונים/ויוסף אברהם.txt,Dicta,704
בית רידבז.txt,אוצריא/שות/אחרונים/בית רידבז.txt,Dicta,545
שות מוצל מאש (רבי יעקב אלפנדרי).txt,אוצריא/שות/אחרונים/שות מוצל מאש (רבי יעקב אלפנדרי).txt,Dicta,540
צדקה ומשפט חלק א.txt,אוצריא/שות/אחרונים/צדקה ומשפט חלק א.txt,Dicta,825
גבעת הלבונה.txt,אוצריא/שות/אחרונים/גבעת הלבונה.txt,Dicta,1278
שות ישועות מלכו.txt,אוצריא/שות/אחרונים/שות ישועות מלכו.txt,Dicta,1287
שות ברית עולם.txt,אוצריא/שות/אחרונים/שות ברית עולם.txt,Dicta,1868
מהרש חלק ב.txt,אוצריא/שות/אחרונים/מהרש חלק ב.txt,Dicta,1322
דברי פנחס.txt,אוצריא/שות/אחרונים/דברי פנחס.txt,Dicta,830
התעוררות תשובה חלק א.txt,אוצריא/שות/אחרונים/התעוררות תשובה חלק א.txt,Dicta,1563
רדך.txt,אוצריא/שות/אחרונים/רדך.txt,Dicta,1590
שות מהראל צינץ.txt,אוצריא/שות/אחרונים/שות מהראל צינץ.txt,Dicta,914
בית שלמה אורח חיים.txt,אוצריא/שות/אחרונים/בית שלמה אורח חיים.txt,Dicta,692
ברכת רצה.txt,אוצריא/שות/אחרונים/ברכת רצה.txt,Dicta,1550
שאגת אריה.txt,אוצריא/שות/אחרונים/שאגת אריה.txt,Dicta,453
שות איתן האזרחי.txt,אוצריא/שות/אחרונים/שות איתן האזרחי.txt,Dicta,684
השיב משה אבן העזר.txt,אוצריא/שות/אחרונים/השיב משה אבן העזר.txt,Dicta,721
אספת גאונים.txt,אוצריא/שות/אחרונים/אספת גאונים.txt,Dicta,84
עמק יהושע חלק א.txt,אוצריא/שות/אחרונים/עמק יהושע חלק א.txt,Dicta,731
ארץ צבי (פרומר) א.txt,אוצריא/שות/אחרונים/ארץ צבי (פרומר) א.txt,Dicta,2562
שושנת העמקים.txt,אוצריא/שות/אחרונים/שושנת העמקים.txt,Dicta,471
התעוררות תשובה חלק ב.txt,אוצריא/שות/אחרונים/התעוררות תשובה חלק ב.txt,Dicta,761
דרכי שלום.txt,אוצריא/שות/אחרונים/דרכי שלום.txt,Dicta,805
"תשובת הגאונים (מהרל, והרב יעקב בן הרב יצחק הלוי פולק).txt","אוצריא/שות/אחרונים/תשובת הגאונים (מהרל, והרב יעקב בן הרב יצחק הלוי פולק).txt",Dicta,34
נחלת יהושע.txt,אוצריא/שות/אחרונים/נחלת יהושע.txt,Dicta,1515
מנחת ברוך יורה דעה.txt,אוצריא/שות/אחרונים/מנחת ברוך יורה דעה.txt,Dicta,483
חוט השני.txt,אוצריא/שות/אחרונים/חוט השני.txt,Dicta,564
משיבת נפש חלק א.txt,אוצריא/שות/אחרונים/משיבת נפש חלק א.txt,Dicta,1615
שות אבני חפץ.txt,אוצריא/שות/אחרונים/שות אבני חפץ.txt,Dicta,1150
כפי אהרן חלק א.txt,אוצריא/שות/אחרונים/כפי אהרן חלק א.txt,Dicta,1632
שות שבט סופר חלק א.txt,אוצריא/שות/אחרונים/שות שבט סופר חלק א.txt,Dicta,1834
אשר לשלמה.txt,אוצריא/שות/אחרונים/אשר לשלמה.txt,Dicta,2016
אמונת שמואל.txt,אוצריא/שות/אחרונים/אמונת שמואל.txt,Dicta,217
שות הרדד אבן העזר א.txt,אוצריא/שות/אחרונים/שות הרדד אבן העזר א.txt,Dicta,1003
בן פורת חלק ב.txt,אוצריא/שות/אחרונים/בן פורת חלק ב.txt,Dicta,306
עין יצחק חלק א.txt,אוצריא/שות/אחרונים/עין יצחק חלק א.txt,Dicta,5649
שות רבז יורה דעה.txt,אוצריא/שות/אחרונים/שות רבז יורה דעה.txt,Dicta,2430
אבני שיש חלק ב.txt,אוצריא/שות/אחרונים/אבני שיש חלק ב.txt,Dicta,985
מקום שנהגו.txt,אוצריא/שות/אחרונים/מקום שנהגו.txt,Dicta,175
שופריה דיעקב חלק ב.txt,אוצריא/שות/אחרונים/שופריה דיעקב חלק ב.txt,Dicta,530
נחלת אבות.txt,אוצריא/שות/אחרונים/נחלת אבות.txt,Dicta,200
שות פרי הארץ חלק ג.txt,אוצריא/שות/אחרונים/שות פרי הארץ חלק ג.txt,Dicta,1068
שות מהרם בן חביב.txt,אוצריא/שות/אחרונים/שות מהרם בן חביב.txt,Dicta,419
שות רבז אורח חיים.txt,אוצריא/שות/אחרונים/שות רבז אורח חיים.txt,Dicta,1689
שות מהרי מינץ.txt,אוצריא/שות/אחרונים/שות מהרי מינץ.txt,Dicta,54
חיים שאל חלק ב.txt,אוצריא/שות/אחרונים/חיים שאל חלק ב.txt,Dicta,591
אמרי אש חלק חושן משפט.txt,אוצריא/שות/אחרונים/אמרי אש חלק חושן משפט.txt,Dicta,250
מלבושי יום טוב חלק א.txt,אוצריא/שות/אחרונים/מלבושי יום טוב חלק א.txt,Dicta,955
משנה שכיר חלק א.txt,אוצריא/שות/אחרונים/משנה שכיר חלק א.txt,Dicta,1598
שות רבי משולם איגרא.txt,אוצריא/שות/אחרונים/שות רבי משולם איגרא.txt,Dicta,2495
שות שתי הלחם.txt,אוצריא/שות/אחרונים/שות שתי הלחם.txt,Dicta,422
שות עטרת חכמים חלק ב.txt,אוצריא/שות/אחרונים/שות עטרת חכמים חלק ב.txt,Dicta,723
בנין שלמה חלק א.txt,אוצריא/שות/אחרונים/בנין שלמה חלק א.txt,Dicta,1001
מהרש חלק א.txt,אוצריא/שות/אחרונים/מהרש חלק א.txt,Dicta,1749
שות שואל ונשאל חלק א.txt,אוצריא/שות/אחרונים/שות שואל ונשאל חלק א.txt,Dicta,1600
שות עטרת חכמים חלק א.txt,אוצריא/שות/אחרונים/שות עטרת חכמים חלק א.txt,Dicta,830
שות רבינו בצלאל אשכנזי.txt,אוצריא/שות/אחרונים/שות רבינו בצלאל אשכנזי.txt,Dicta,954
תשובות מהרים.txt,אוצריא/שות/אחרונים/תשובות מהרים.txt,Dicta,912
שות עונג יום טוב.txt,אוצריא/שות/אחרונים/שות עונג יום טוב.txt,Dicta,3187
שות נשאל דוד.txt,אוצריא/שות/אחרונים/שות נשאל דוד.txt,Dicta,195
שות דברי מלכיאל חלק ה .txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ה .txt,Dicta,1488
שות דברי מלכיאל חלק ג.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ג.txt,Dicta,1699
שות דברי מלכיאל חלק א.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק א.txt,Dicta,2322
שות דברי מלכיאל חלק ב.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ב.txt,Dicta,1809
שות דברי מלכיאל חלק ד.txt,אוצריא/שות/אחרונים/דברי מלכיאל/שות דברי מלכיאל חלק ד.txt,Dicta,1507
כתב סופר אבן העזר.txt,אוצריא/שות/אחרונים/כתב סופר/כתב סופר אבן העזר.txt,Dicta,2507
כתב סופר יורה דעה.txt,אוצריא/שות/אחרונים/כתב סופר/כתב סופר יורה דעה.txt,Dicta,3606
כתב סופר אורח חיים.txt,אוצריא/שות/אחרונים/כתב סופר/כתב סופר אורח חיים.txt,Dicta,2708
פנים מאירות חלק ג.txt,אוצריא/שות/אחרונים/פנים מאירות/פנים מאירות חלק ג.txt,Dicta,288
פנים מאירות חלק א.txt,אוצריא/שות/אחרונים/פנים מאירות/פנים מאירות חלק א.txt,Dicta,645
פנים מאירות חלק ב.txt,אוצריא/שות/אחרונים/פנים מאירות/פנים מאירות חלק ב.txt,Dicta,1154
מביט חלק ב.txt,אוצריא/שות/אחרונים/מביט/מביט חלק ב.txt,Dicta,453
מביט חלק א.txt,אוצריא/שות/אחרונים/מביט/מביט חלק א.txt,Dicta,1376
מביט חלק ג.txt,אוצריא/שות/אחרונים/מביט/מביט חלק ג.txt,Dicta,449
פרי יצחק חלק ב.txt,אוצריא/שות/אחרונים/פרי יצחק/פרי יצחק חלק ב.txt,Dicta,414
פרי יצחק חלק א.txt,אוצריא/שות/אחרונים/פרי יצחק/פרי יצחק חלק א.txt,Dicta,972
אחיעזר חלק ג.txt,אוצריא/שות/אחרונים/אחיעזר/אחיעזר חלק ג.txt,Dicta,1802
אחיעזר חלק א אבן העזר.txt,אוצריא/שות/אחרונים/אחיעזר/אחיעזר חלק א אבן העזר.txt,Dicta,1019
בית אפרים יורה דעה.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים יורה דעה.txt,Dicta,1060
בית אפרים אורח חיים.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים אורח חיים.txt,Dicta,1008
בית אפרים חושן משפט.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים חושן משפט.txt,Dicta,1516
בית אפרים אבן העזר.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים אבן העזר.txt,Dicta,2972
חוט המשולש חלק ג.txt,אוצריא/שות/אחרונים/חוט המשולש/חוט המשולש חלק ג.txt,Dicta,915
חוט המשולש חלק ב.txt,אוצריא/שות/אחרונים/חוט המשולש/חוט המשולש חלק ב.txt,Dicta,83
חוט המשולש חלק א.txt,אוצריא/שות/אחרונים/חוט המשולש/חוט המשולש חלק א.txt,Dicta,563
זכר יהוסף חלק ג.txt,אוצריא/שות/אחרונים/זכר יהוסף/זכר יהוסף חלק ג.txt,Dicta,603
זכר יהוסף חלק ב.txt,אוצריא/שות/אחרונים/זכר יהוסף/זכר יהוסף חלק ב.txt,Dicta,501
זכר יהוסף חלק ד.txt,אוצריא/שות/אחרונים/זכר יהוסף/זכר יהוסף חלק ד.txt,Dicta,676
תשובה שלמה אורח חיים יורה דעה מהדורא תנינא.txt,אוצריא/שות/אחרונים/תשובה שלמה/תשובה שלמה אורח חיים יורה דעה מהדורא תנינא.txt,Dicta,467
תשובה שלמה - ב.txt,אוצריא/שות/אחרונים/תשובה שלמה/תשובה שלמה - ב.txt,Dicta,1338
תשובה שלמה - א.txt,אוצריא/שות/אחרונים/תשובה שלמה/תשובה שלמה - א.txt,Dicta,1077
נחלת שבעה מהדורא קמא חלק ב.txt,אוצריא/שות/אחרונים/נחלת שבעה/נחלת שבעה מהדורא קמא חלק ב.txt,Dicta,272
נחלת ברוך.txt,אוצריא/שות/אחרונים/נחלת ברוך/נחלת ברוך.txt,Dicta,516
שות מהרשם חלק ה.txt,אוצריא/שות/אחרונים/שות מהרשם/שות מהרשם חלק ה.txt,Dicta,572
שות מהרשם חלק ד.txt,אוצריא/שות/אחרונים/שות מהרשם/שות מהרשם חלק ד.txt,Dicta,982
משיב דבר חלק ג.txt,אוצריא/שות/אחרונים/משיב דבר/משיב דבר חלק ג.txt,Dicta,162
משיב דבר חלק ד.txt,אוצריא/שות/אחרונים/משיב דבר/משיב דבר חלק ד.txt,Dicta,958
אבני נזר אבן העזר.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר אבן העזר.txt,Dicta,9323
אבני נזר יורה דעה.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר יורה דעה.txt,Dicta,5469
אבני נזר אורח חיים.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר אורח חיים.txt,Dicta,9935
אבני נזר חושן משפט.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר חושן משפט.txt,Dicta,1926
מהרש חלק ד.txt,אוצריא/שות/אחרונים/מהרש/מהרש חלק ד.txt,Dicta,999
מהרש חלק ג.txt,אוצריא/שות/אחרונים/מהרש/מהרש חלק ג.txt,Dicta,1069
שות שבות יעקב חלק ב.txt,אוצריא/שות/אחרונים/שבות יעקב/שות שבות יעקב חלק ב.txt,Dicta,623
שות שבות יעקב חלק א.txt,אוצריא/שות/אחרונים/שבות יעקב/שות שבות יעקב חלק א.txt,Dicta,1196
שות שבות יעקב חלק ג.txt,אוצריא/שות/אחרונים/שבות יעקב/שות שבות יעקב חלק ג.txt,Dicta,621
זית רענן חלק א.txt,אוצריא/שות/אחרונים/זית רענן/זית רענן חלק א.txt,Dicta,1386
זית רענן חלק ב.txt,אוצריא/שות/אחרונים/זית רענן/זית רענן חלק ב.txt,Dicta,1775
צמח צדק (לובאוויטש) אבן העזר חלק א.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק א.txt,Dicta,1272
צמח צדק (לובאוויטש) אבן העזר חלק ד.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק ד.txt,Dicta,991
צמח צדק (לובאוויטש) אבן העזר חלק ב.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק ב.txt,Dicta,645
צמח צדק (לובאוויטש) אורח חיים חלק א.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אורח חיים חלק א.txt,Dicta,652
צמח צדק (לובאוויטש) יורה דעה חלק א.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) יורה דעה חלק א.txt,Dicta,960
צמח צדק (לובאוויטש) אבן העזר חלק ג.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) אבן העזר חלק ג.txt,Dicta,758
צמח צדק (לובאוויטש) יורה דעה חלק ב.txt,אוצריא/שות/אחרונים/צמח צדק/צמח צדק (לובאוויטש) יורה דעה חלק ב.txt,Dicta,1758
שות תעלומות לב חלק א.txt,אוצריא/שות/אחרונים/שות תעלומות לב/שות תעלומות לב חלק א.txt,Dicta,1656
שות תעלומות לב חלק ב.txt,אוצריא/שות/אחרונים/שות תעלומות לב/שות תעלומות לב חלק ב.txt,Dicta,1686
שות תעלומות לב חלק ד.txt,אוצריא/שות/אחרונים/שות תעלומות לב/שות תעלומות לב חלק ד.txt,Dicta,2459
