ref,line_index
"Minchat Ani on Torah, Yitro 11",160
"Minchat Ani on Torah, Yitro 12",161
"Minchat Ani on Torah, Yitro 13",162
"Minchat Ani on Torah, Yitro 14",163
"Minchat Ani on Torah, Mishpatim 1",165
"Minchat Ani on Torah, Mishpatim 2",166
"Minchat Ani on Torah, Mishpatim 3",167
"Minchat Ani on Torah, Mishpatim 4",168
"Minchat Ani on Torah, Mishpatim 5",169
"Minchat Ani on Torah, Mishpatim 6",170
"Minchat Ani on Torah, Mishpatim 7",171
"Minchat Ani on Torah, Mishpatim 8",172
"Minchat Ani on Torah, Mishpatim 9",173
"Minchat Ani on Torah, Mishpatim 10",174
"Minchat Ani on Torah, Mishpatim 11",175
"Minchat Ani on Torah, Mishpatim 12",176
"Minchat Ani on Torah, Mishpatim 13",177
"Minchat Ani on Torah, Mishpatim 14",178
"Minchat Ani on Torah, Mishpatim 15",179
"Minchat Ani on Torah, Mishpatim 16",180
"Minchat Ani on Torah, Terumah 1",182
"Minchat Ani on Torah, Terumah 2",183
"Minchat Ani on Torah, Terumah 3",184
"Minchat Ani on Torah, Terumah 4",185
"Minchat Ani on Torah, Terumah 5",186
"Minchat Ani on Torah, Terumah 6",187
"Minchat Ani on Torah, Terumah 7",188
"Minchat Ani on Torah, Terumah 8",189
"Minchat Ani on Torah, Terumah 9",190
"Minchat Ani on Torah, Terumah 10",191
"Minchat Ani on Torah, Terumah 11",192
"Minchat Ani on Torah, Tetzaveh 1",194
"Minchat Ani on Torah, Tetzaveh 2",195
"Minchat Ani on Torah, Tetzaveh 3",196
"Minchat Ani on Torah, Tetzaveh 4",197
"Minchat Ani on Torah, Tetzaveh 5",198
"Minchat Ani on Torah, Tetzaveh 6",199
"Minchat Ani on Torah, Tetzaveh 7",200
"Minchat Ani on Torah, Tetzaveh 8",201
"Minchat Ani on Torah, Tetzaveh 9",202
"Minchat Ani on Torah, Tetzaveh 10",203
"Minchat Ani on Torah, Tetzaveh 11",204
"Minchat Ani on Torah, Tetzaveh 12",205
"Minchat Ani on Torah, Tetzaveh 13",206
"Minchat Ani on Torah, Tetzaveh 14",207
"Minchat Ani on Torah, Tetzaveh 15",208
"Minchat Ani on Torah, Tetzaveh 16",209
"Minchat Ani on Torah, Ki Tisa 1",211
"Minchat Ani on Torah, Ki Tisa 2",212
"Minchat Ani on Torah, Ki Tisa 3",213
"Minchat Ani on Torah, Ki Tisa 4",214
"Minchat Ani on Torah, Ki Tisa 5",215
"Minchat Ani on Torah, Ki Tisa 6",216
"Minchat Ani on Torah, Ki Tisa 7",217
"Minchat Ani on Torah, Ki Tisa 8",218
"Minchat Ani on Torah, Ki Tisa 9",219
"Minchat Ani on Torah, Ki Tisa 10",220
"Minchat Ani on Torah, Vayakhel 1",222
"Minchat Ani on Torah, Vayakhel 2",223
"Minchat Ani on Torah, Vayakhel 3",224
"Minchat Ani on Torah, Vayakhel 4",225
"Minchat Ani on Torah, Vayakhel 5",226
"Minchat Ani on Torah, Vayakhel 6",227
"Minchat Ani on Torah, Vayakhel 7",228
"Minchat Ani on Torah, Vayakhel 8",229
"Minchat Ani on Torah, Vayakhel 9",230
"Minchat Ani on Torah, Vayakhel 10",231
"Minchat Ani on Torah, Vayakhel 11",232
"Minchat Ani on Torah, Vayakhel 12",233
"Minchat Ani on Torah, Vayakhel 13",234
"Minchat Ani on Torah, Pekudei 1",236
"Minchat Ani on Torah, Pekudei 2",237
"Minchat Ani on Torah, Pekudei 3",238
"Minchat Ani on Torah, Pekudei 4",239
"Minchat Ani on Torah, Pekudei 5",240
"Minchat Ani on Torah, Pekudei 6",241
"Minchat Ani on Torah, Pekudei 7",242
"Minchat Ani on Torah, Pekudei 8",243
"Minchat Ani on Torah, Pekudei 9",244
"Minchat Ani on Torah, Vayikra 1",246
"Minchat Ani on Torah, Vayikra 2",247
"Minchat Ani on Torah, Vayikra 3",248
"Minchat Ani on Torah, Vayikra 4",249
"Minchat Ani on Torah, Vayikra 5",250
"Minchat Ani on Torah, Vayikra 6",251
"Minchat Ani on Torah, Vayikra 7",252
"Minchat Ani on Torah, Vayikra 8",253
"Minchat Ani on Torah, Vayikra 9",254
"Minchat Ani on Torah, Vayikra 10",255
"Minchat Ani on Torah, Vayikra 11",256
"Minchat Ani on Torah, Vayikra 12",257
"Minchat Ani on Torah, Vayikra 13",258
"Minchat Ani on Torah, Tzav 1",260
"Minchat Ani on Torah, Tzav 2",261
"Minchat Ani on Torah, Tzav 3",262
"Minchat Ani on Torah, Tzav 4",263
"Minchat Ani on Torah, Tzav 5",264
"Minchat Ani on Torah, Tzav 6",265
"Minchat Ani on Torah, Tzav 7",266
"Minchat Ani on Torah, Tzav 8",267
"Minchat Ani on Torah, Tzav 9",268
"Minchat Ani on Torah, Tzav 10",269
"Minchat Ani on Torah, Tzav 11",270
"Minchat Ani on Torah, Tzav 12",271
"Minchat Ani on Torah, Tzav 13",272
"Minchat Ani on Torah, Tzav 14",273
"Minchat Ani on Torah, Tzav 15",274
"Minchat Ani on Torah, Shmini 1",276
"Minchat Ani on Torah, Shmini 2",277
"Minchat Ani on Torah, Shmini 3",278
"Minchat Ani on Torah, Shmini 4",279
"Minchat Ani on Torah, Shmini 5",280
"Minchat Ani on Torah, Shmini 6",281
"Minchat Ani on Torah, Shmini 7",282
"Minchat Ani on Torah, Shmini 8",283
"Minchat Ani on Torah, Shmini 9",284
"Minchat Ani on Torah, Shmini 10",285
"Minchat Ani on Torah, Shmini 11",286
"Minchat Ani on Torah, Shmini 12",287
"Minchat Ani on Torah, Shmini 13",288
"Minchat Ani on Torah, Shmini 14",289
"Minchat Ani on Torah, Shmini 15",290
"Minchat Ani on Torah, Tazria 1",292
"Minchat Ani on Torah, Tazria 2",293
"Minchat Ani on Torah, Tazria 3",294
"Minchat Ani on Torah, Tazria 4",295
"Minchat Ani on Torah, Tazria 5",296
"Minchat Ani on Torah, Tazria 6",297
"Minchat Ani on Torah, Tazria 7",298
"Minchat Ani on Torah, Tazria 8",299
"Minchat Ani on Torah, Tazria 9",300
